

date |    value

2008-01-02 | 2
2010-01-15 | 2
2012-03-17 | 0.5

20	16-05-09 | 2
2016-05-0	9 | 2
2016-05-09|2
2016-5-9|2
2016-05-9 | 2 	
2016	-05	-	09 | 2
2016-05-09 | 2asd
2016-05-09 | 	
2016-05 |  	
2016-05-09  	
2016-0-09 | 2  	
2016-13-09 | 2  	
2016-1-32 | 2 
2016-2-31 | 2 
2016-2-29 | 2 
2015-2-29 | 2 
2015-2-28 | 2 

202a0-07-25 | 9
2020-a7-25 | 1
2022-03-a9 | 2
2022-03-9a | 2
2022-03-9 | a2
2022-03-9 | 2a

2022-03-9 | -1
2022-03-9 | -0.5
2022-03-9 | -0.000000000000000000000000001
2022-03-9 | 0.00000000000000000000000000000000000000000001
2022-03-9 | .0000000000000000000000000000000000000000000000001



